filename,mood,confidence,tempo,rms,dbfs,centroid,dynamics,intensity,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
07 - Cinematic epic music｜＂The Sword＂｜Copyright free epic music｜FREE Epic Music｜EPIC MUSIC WAVES.mp3,Dreamy / Ambient,0.7,81.52173913043478,0.0765172,-35.59922,1059.394823155254,0.07077076,0.7458629,-315.52985,146.5122,1.5381327,23.084047,18.86723,12.613916,5.7029767,8.413394,5.2287927,7.03796,7.1253133,2.4074423,2.9991875
02 - INTRIGUE - Most Cinematic Suspense music ever ｜ No Copyright Music ｜ Epic Music Waves.mp3,Dreamy / Ambient,0.7,119.68085106382979,0.085717574,-33.244514,1225.2232796935207,0.06785512,0.78505737,-276.7018,163.72226,-2.1945298,12.851877,15.093221,5.176958,-4.047412,-4.1802163,-5.7857428,-6.343311,-7.3294,-7.763861,-3.7334177
17 - FREE Cinematic Action Background Music ｜ No Copyright Cinematic Background Music ｜ EMW.mp3,Neutral / Mixed,0.5,140.625,0.13088812,-25.15899,1190.9239523384888,0.0674299,0.9251794,-239.7268,191.42853,-19.761292,28.44054,19.93527,14.064274,3.8694694,1.4364139,8.874951,0.30075353,2.898862,-4.1596255,-2.7825973
27 - FREE Emotional Cinematic Background Music ｜ Emotional Cinematic Background Music NO COPYRIGHT • EMW.mp3,Happy / Uplifting,0.75,130.8139534883721,0.17009538,-21.40846,617.6394141344562,0.06459222,0.6986842,-296.94724,208.4845,44.113693,15.746366,16.216713,11.413285,4.945212,1.4113601,-1.2611462,-3.481596,-1.749458,-0.5729358,-1.9898685
11 - Cinematic Motivational & Intense Epic music - RAY OF HOPE ｜ Epic Motivational music no copyright.mp3,Dreamy / Ambient,0.7,140.625,0.10455286,-28.825518,1300.5173195422078,0.059324905,0.84352404,-231.598,187.18953,-4.6439433,16.280983,8.271356,10.603522,-4.450089,5.061059,1.4715922,-0.16632771,1.9401137,-2.0648355,0.5508307
29 - Epic Cinematic Background Music NO COPYRIGHT ｜ FREE Epic Background Music For Videos • EMW.mp3,Emotional / Melancholic,0.85,95.33898305084746,0.22178103,-19.441483,1382.1607146782171,0.09583352,0.9276318,-167.21149,179.13956,-12.530011,28.746557,9.921126,20.201193,3.6087842,7.881866,7.439716,3.926725,5.7139535,2.3557327,3.8129182
22 - Epic Cinematic Background Music NO COPYRIGHT ｜ FREE Epic Background Music For Videos • EMW.mp3,Neutral / Mixed,0.5,133.92857142857142,0.22700661,-19.150087,1564.7449276791308,0.09045347,0.9391579,-147.42334,180.94421,-34.475334,41.71253,13.258903,14.691932,5.8431997,3.8588107,8.36763,4.347901,5.917882,3.2300391,3.1309488
30 - Epic Cinematic Background Music NO COPYRIGHT ｜ FREE Epic Background Music For Videos • EMW.mp3,Energetic / Hype,0.8,140.625,0.24354075,-18.459568,1398.0285081347859,0.076754935,1.0999221,-156.08371,195.51494,-20.106926,43.38645,4.4728594,14.428699,4.222646,1.9113265,3.0567486,3.8551826,4.7873254,2.4843738,4.7956414
24 - Motivational Background Music No Copyright ｜ Motivational Cinematic Background Music Royalty FREE.mp3,Neutral / Mixed,0.5,114.79591836734694,0.15780644,-24.122849,1222.1042897538516,0.09954484,0.8319143,-204.50943,180.86769,-5.895339,28.252432,14.339481,9.961733,3.9309819,4.456843,6.9935374,1.7354865,5.0866957,1.9052209,-1.6084064
abc3.mp3,Dreamy / Ambient,0.7,166.70866935483872,0.11464835,-29.221266,1457.3013213709235,0.09634974,0.67074233,-237.37743,165.9089,3.7753131,17.991259,-1.3940713,9.212415,-2.2507062,5.793914,-2.048298,0.91125697,-1.1866119,1.5259523,0.9379204
